distance,p,K,Delta,source,status,shots,fail_total,logical_fail,syndrome_fail,exception_fail,fer,fer_lo95,fer_hi95,mean_states_total,joint_matrix_rows,joint_matrix_cols
17,0.13,8192,10.0,d17 K8192 complete,final,40000,1285,1285,0,0,0.032125,0.030441405585410867,0.03389845191227881,676.3365980103806,288,289
17,0.14,8192,10.0,d17 K8192 complete,final,40000,2141,2141,0,0,0.053525,0.051361839834502036,0.055773907696956164,1010.8872633217992,288,289
17,0.15,8192,10.0,d17 K8192 complete+highest-K CI-width top-up to 0.005 seed20260750+,final,48000,4067,4067,0,0,0.08472916666666666,0.08227101807633007,0.0872537785131597,1511.7377023500574,288,289
17,0.16,8192,10.0,d17 K8192 complete+highest-K CI-width top-up to 0.005 seed20260750++highest-K CI-width top-up to 0.005 seed20260750+,final,69000,8691,8691,0,0,0.12595652173913044,0.12350161261209139,0.1284530770292964,2208.581051301339,288,289
17,0.17,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01725_s20000_seed20260711_cleps_v1,final,220000,39557,39557,0,0,0.17980454545454547,0.17820543355803953,0.18141483913446987,3183.0360952658066,288,289
17,0.1725,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01725_s20000_seed20260721_cleps_v1,partial,182000,35244,35244,0,0,0.19364835164835165,0.19183938680668505,0.1954702484944459,3461.438617666071,288,289
17,0.175,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0175_s20000_seed20260630_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0175_s20000_seed20260631_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0175_s20000_seed20260632_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0175_s20000_seed20260633_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0175_s20000_seed20260634_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01775_s20000_seed20260712_cleps_v1,final,220000,45752,45752,0,0,0.20796363636363635,0.206272831887001,0.20966463925915038,3759.5051058823533,288,289
17,0.1775,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01775_s20000_seed20260722_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0180_s20000_seed20260713_cleps_v1,partial,188000,41699,41699,0,0,0.2218031914893617,0.21993087693505803,0.2236868747643857,4065.6229265810202,288,289
17,0.18,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0180_s20000_seed20260723_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0185_s20000_seed20260714_cleps_v1,partial,169000,40036,40036,0,0,0.23689940828402367,0.2348782913524349,0.23893248577319567,4402.9215983292725,288,289
17,0.1825,8192,10.0,d17 K8192 complete+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260640_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260641_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260642_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260643_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260644_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260645_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260646_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260647_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260648_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01825_s20000_seed20260649_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0190_s20000_seed20260715_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0190_s20000_seed20260716_cleps_v1,final,280000,70789,70789,0,0,0.25281785714285715,0.25121140289656313,0.2544310937248367,4739.106807600099,288,289
17,0.185,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0185_s20000_seed20260724_cleps_v1,partial,139000,37212,37212,0,0,0.26771223021582735,0.2653910336129984,0.2700462656566743,5087.293140549152,288,289
17,0.1875,8192,10.0,d17 K8192 complete+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260660_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260661_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260662_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260663_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260664_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260665_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260666_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260667_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260668_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p01875_s20000_seed20260669_cleps_v1,final,240000,68493,68493,0,0,0.2853875,0.2835842079558376,0.28719766214320874,5451.924234111881,288,289
17,0.19,8192,10.0,d17 K8192 complete+d13/d17 K4096/K8192 highp top-up seed20260627+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0190_s20000_seed20260725_cleps_v1+d17 K8192 highp overlap extra 20260616_surface_fig3_d17_k8192_highp_overlap_p0190_s20000_seed20260726_cleps_v1,partial,143000,42570,42570,0,0,0.2976923076923077,0.29532788106668634,0.300067603349994,5824.0769995402525,288,289
21,0.07,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 lowp extra seed20260619+d21 K16384 p0.07 extra seed20260623+d21 K16384 p0.07 extra seed20260624+d21 K16384 p0.07 extra seed20260625+d21 K16384 p0.07 extra seed20260626,final,5040000,178,178,0,0,3.531746031746032e-05,3.0496318488771598e-05,4.0900741938178136e-05,66.49514636288374,440,441
21,0.08,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 lowp extra seed20260619,final,1040000,171,171,0,0,0.00016442307692307692,0.00014155823273347696,0.00019098040321577096,104.79342530961105,440,441
21,0.09,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 lowp extra seed20260619,final,1040000,516,516,0,0,0.0004961538461538461,0.00045516036675904953,0.0005408373570260013,164.10887773199022,440,441
21,0.1,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 lowp extra seed20260620,final,1040000,1609,1609,0,0,0.0015471153846153846,0.0014733977747056932,0.0016245152621359735,281.0826493502529,440,441
21,0.11,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618+d21 K16384 lowp extra seed20260620,final,1040000,4354,4354,0,0,0.004186538461538461,0.004064263368780085,0.004312476323450795,451.47268019143513,440,441
21,0.12,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618,final,40000,375,375,0,0,0.009375,0.008476579007456193,0.010367647730035661,707.8888091269841,440,441
21,0.13,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618,final,40000,788,788,0,0,0.0197,0.018383551959977276,0.02110869181483513,1120.5370520975057,440,441
21,0.14,16384,10.0,d21 K16384 current+d21 K16384 extra seed20260618,final,40000,1542,1542,0,0,0.03855,0.03670722205010537,0.040481401497442386,1762.4719048752834,440,441
