bin_left,bin_right,count,tail_count_ge_bin_left,tail_fraction_ge_bin_left,tail_ci_low95,tail_ci_high95
18106206.210999884,19103269.434354473,753,2769,0.0013845,0.0013339166497579429,0.001436998757473688
19103269.434354473,20155238.42094747,586,2016,0.001008,0.0009649691266094152,0.0010529477269286837
20155238.42094747,21265136.693025105,393,1430,0.000715,0.0006789015121780222,0.0007530164669053493
21265136.693025105,22436154.270597115,279,1037,0.0005185,0.0004878951419751455,0.0005510235919534343
22436154.270597115,23671656.840049352,208,758,0.000379,0.0003529670423567294,0.00040695222745432667
23671656.840049352,24975195.427649472,143,550,0.000275,0.0002529603650799282,0.00029895930424207794
24975195.427649472,26350516.605747815,124,407,0.0002035,0.000184668314939781,0.00022425162904600318
26350516.605747815,27801573.261008047,86,283,0.0001415,0.00012594748961202527,0.0001589726925437483
27801573.261008047,29332535.955617707,49,197,9.85e-05,8.567268725396876e-05,0.00011324766008421685
29332535.955617707,30947804.914131213,38,148,7.4e-05,6.300006983670585e-05,8.69203716170401e-05
30947804.914131213,32652022.67039903,26,110,5.5e-05,4.563765103821318e-05,6.628286340311017e-05
32652022.67039903,34450087.41093081,22,84,4.2e-05,3.392760628464831e-05,5.1992958095543785e-05
34450087.41093081,36347167.05304393,23,62,3.1e-05,2.418451821295753e-05,3.973608842320043e-05
36347167.05304393,38348714.09826096,10,39,1.95e-05,1.426551741159986e-05,2.6655133401249697e-05
38348714.09826096,40460481.30364529,9,29,1.45e-05,1.0096347458272038e-05,2.0824322561834728e-05
40460481.30364529,42688538.21611889,13,20,1e-05,6.4737720143697384e-06,1.544691529226852e-05
42688538.21611889,45039288.61728259,1,7,3.5e-06,1.6954329190285395e-06,7.225279357044093e-06
45039288.61728259,47519488.9288788,0,6,3e-06,1.3749276111819677e-06,6.545786585616385e-06
47519488.9288788,50136267.631797045,1,6,3e-06,1.3749276111819677e-06,6.545786585616385e-06
50136267.631797045,52897145.75443538,3,5,2.5e-06,1.0678510265100667e-06,5.852865091014009e-06
52897145.75443538,55810058.489303775,1,2,1e-06,2.742361119633942e-07,3.646485767737844e-06
55810058.489303775,58883378.0,1,1,5e-07,8.826228292013066e-08,2.8324615175068294e-06
58883378.0,58883378.0,,1,5e-07,8.826228292013066e-08,2.8324615175068294e-06
60000000.0,60000000.0,0,0,0.0,2.117582368135751e-22,1.9207257211526808e-06
