stage,state_key,parent_state_key,local_state,merged_from_count,rank,kept,prefix_mass_P,future_score_F,score_P_plus_alpha_F,detector_mask,logical_mask,next_column_index,next_boundary_column_index,alpha,Delta,K,best_score_after_next_column,cutoff_score_after_next_column,closure_rejected
step2_branch,18758318456445223658618499571407441072229738845071909602049866633681235806781440,18758318456445223658618499571407441072229738845071909602049866633681235806781440,0,1,2,True,-20.285061073543798,-24.37077769655425,-39.781683230787195,1329238138227657738024399308805111808,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072229823915663638598725693191952818849710080,18758318456445223658618499571407441072229738845071909602049866633681235806781440,1,1,2,True,-25.217165089721245,-15.74969958857935,-37.816924760584726,86399829867224333564582670891848040448,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072273378729442166984502949843082512946954240,18758318456445223658618499571407441072273378729442166984502949843082512946954240,0,1,3,True,-26.29830446020645,-16.01100112191488,-39.107105357738355,43641213608395610110821233800585945284608,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072273293658850437987827123284810929904025600,18758318456445223658618499571407441072273378729442166984502949843082512946954240,1,1,3,True,-31.230408476383896,-24.632079229889776,-50.93607186029572,43556143016666613434994675529002902355968,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072229823915663638598725693191952818849710080,18758318456445223658618499571407441072229823915663638598725693191952818849710080,0,1,4,True,-26.966410850471046,-15.74969958857935,-39.56617052133453,86399829867224333564582670891848040448,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072229738845071909602049866633681235806781440,18758318456445223658618499571407441072229823915663638598725693191952818849710080,1,1,4,True,-31.898514866648494,-24.37077769655425,-51.39513702389189,1329238138227657738024399308805111808,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072229738845112552411479644953486448954179584,18758318456445223658618499571407441072229738845112552411479644953486448954179584,0,1,5,True,-25.377964834678313,-18.735402839410263,-40.36628710620653,1329278781037087516344204521952509952,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072229823915704283884035550082518581795356672,18758318456445223658618499571407441072229738845112552411479644953486448954179584,1,1,5,True,-30.31006885085576,-21.601405278970432,-47.591193074032105,86399870512509643421473236654793687040,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,24316338739836401038949906851824460649230337995994053861902726342995984603152384,24316338739836401038949906851824460649230337995994053861902726342995984603152384,0,1,6,True,-26.185054085800175,-18.27983980286531,-40.80892592809242,43641216209535413616633701334227378765824,3360,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,24316338739836401038949906851824460649230252925402324865226899784724401560223744,24316338739836401038949906851824460649230337995994053861902726342995984603152384,1,1,6,True,-31.117158101977623,-26.900917910840207,-52.637892430649785,43556145617806416940807143062644335837184,3360,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,42535295866355247972207206203870150656,42535295866355247972207206203870150656,0,1,7,True,-19.297774430922818,-28.471930153994684,-42.07531855411857,42535295866355247972207206203870150656,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,127605887595351923798765477786913079296,42535295866355247972207206203870150656,1,1,7,True,-24.229878447100266,-19.85085204601978,-40.11056008391609,127605887595351923798765477786913079296,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,27037452836913331631403824999528626483738583965117830198717788408621798113935360,27037452836913331631403824999528626483738583965117830198717788408621798113935360,0,1,8,True,-21.047020237930354,-25.635462403545482,-41.55539016076674,42545690758495504442542774082343010304,3736,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,27037452836913331631403824999528626483738669035709561671273693537653930955112448,27037452836913331631403824999528626483738583965117830198717788408621798113935360,1,1,8,True,-25.979124254107802,-28.50146484310565,-48.780296128592326,127616282489968060347671806215184187392,3736,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,127605887595351923798765477786913079296,127605887595351923798765477786913079296,0,1,9,True,-25.97912420785007,-19.85085204601978,-41.8598058446659,127605887595351923798765477786913079296,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,42535295866355247972207206203870150656,127605887595351923798765477786913079296,1,1,9,True,-30.911228224027518,-28.471930153994684,-53.688772347223264,42535295866355247972207206203870150656,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,24316338739836401038949906851824460649186698111664439288879421453399920610377728,24316338739836401038949906851824460649186698111664439288879421453399920610377728,0,1,10,True,-25.26229522271431,-21.004241520360694,-42.06568843900287,1331879920840593328811738163385991168,3360,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,24316338739836401038949906851824460649186783182256170761435326582432053451554816,24316338739836401038949906851824460649186698111664439288879421453399920610377728,1,1,10,True,-30.19439923889176,-23.870243959920863,-49.29059440682845,86402471652313149233940770296227168256,3360,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,42535336509164677750527011417017548800,42535336509164677750527011417017548800,0,1,11,True,-24.390678192057333,-22.836555296850698,-42.65992242953789,42535336509164677750527011417017548800,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,127605928240637233655656043549858725888,42535336509164677750527011417017548800,1,1,11,True,-29.32278220823478,-25.70255773641086,-49.88482839736347,127605928240637233655656043549858725888,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,1910569472415717224488921252643350479579093652616844249795301326312963643015168,1910569472415717224488921252643350479579093652616844249795301326312963643015168,0,1,12,True,-27.889169759814642,-18.608846772194898,-42.77624717757056,138905633774943144251190182397003956224,264,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,1910569472415717224488921252643350479579008582025115253119474768041380600086528,1910569472415717224488921252643350479579093652616844249795301326312963643015168,1,1,12,True,-32.82127377599209,-27.22992488016979,-54.605213680127925,53835042045946468424631910813961027584,264,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072273293658809792702517266394245166958379008,18758318456445223658618499571407441072273293658809792702517266394245166958379008,0,1,13,True,-27.88916971355691,-18.780373539498697,-42.913468545155865,43556142976021328125137784963239956709376,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,18758318456445223658618499571407441072273378729401524175073171523277299799556096,18758318456445223658618499571407441072273293658809792702517266394245166958379008,1,1,13,True,-32.82127372973436,-21.646375979058867,-50.13837451298146,43641213567752800681042913995372797886464,2592,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,5575186299673221842531272194390259778191360,5575186299673221842531272194390259778191360,0,1,14,True,-20.29153119735701,-29.509311691369494,-43.898980550452606,5575186299673221842531272194390259778191360,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,5575271370264950839207098752661842821120000,5575186299673221842531272194390259778191360,1,1,14,True,-25.223635213534457,-20.888233583394594,-41.93422208025014,5575271370264950839207098752661842821120000,0,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,1910569472415717224488921252643350479578998114354647208966936365180505993248768,1910569472415717224488921252643350479578998114354647208966936365180505993248768,0,1,15,True,-25.979124254107795,-21.467647077248188,-43.15324191590635,43367371577902315886229049939354189824,264,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
step2_branch,1910569472415717224488921252643350479579083184946378681522841494212638834425856,1910569472415717224488921252643350479578998114354647208966936365180505993248768,1,1,15,True,-30.911228270285243,-24.333649516808357,-50.37814788373193,128437963309374871791358082072195366912,264,1015,1015,0.8,8.0,512,-37.656588911256655,-45.656588911256655,False
